四半期,国内総生産(支出側),民間最終消費支出,家計最終消費支出,除く持ち家の帰属家賃,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,純輸出,輸出,輸入,開差,交易利得,国内総所得,純受取,受取,支払,国民総所得,国内需要,民間需要,公的需要,総固定資本形成,最終需要
1994/ 1- 3.,446275 ,247502 ,243619 ,208574 ,29812 ,66259 ,4229 ,71357 ,47098 ,(542),(7720),37756 ,45476 ,(11721),19378 ,465653 ,4121 ,14527 ,10406 ,469774 ,462308 ,346440 ,115942 ,139766 ,442221 
4- 6.,443830 ,248851 ,244912 ,209663 ,31119 ,66065 ,(2885),72244 ,48012 ,623 ,(8364),37964 ,46328 ,(11835),18742 ,462572 ,3800 ,14474 ,10674 ,466372 ,460096 ,341695 ,118659 ,141500 ,445626 
7- 9.,448931 ,250606 ,246645 ,211181 ,33628 ,65999 ,(281),72789 ,46294 ,806 ,(9067),38658 ,47726 ,(11844),18143 ,467074 ,3871 ,14799 ,10927 ,470945 ,465711 ,348110 ,117728 ,142081 ,448128 
10-12.,447124 ,250734 ,246728 ,211087 ,32218 ,67029 ,(1602),72950 ,45580 ,853 ,(9379),38821 ,48199 ,(11261),18530 ,465653 ,3903 ,15316 ,11413 ,469556 ,463959 ,346832 ,117252 ,141344 ,447535 
1995/ 1- 3.,452093 ,252909 ,248836 ,212992 ,31122 ,68648 ,2254 ,74470 ,43634 ,(28),(10500),39312 ,49812 ,(10416),18955 ,471048 ,3954 ,15604 ,11650 ,475002 ,469807 ,353586 ,116207 ,140426 ,449515 
4- 6.,456356 ,254971 ,250815 ,214780 ,30382 ,71088 ,1117 ,74611 ,45414 ,199 ,(11408),39898 ,51306 ,(10017),19770 ,476126 ,3172 ,14794 ,11622 ,479298 ,474720 ,356526 ,118225 ,144020 ,454679 
7- 9.,461705 ,256354 ,252124 ,215909 ,29742 ,72335 ,2106 ,75543 ,48917 ,173 ,(13894),40274 ,54167 ,(9570),20655 ,482359 ,4657 ,18631 ,13975 ,487016 ,481962 ,359666 ,122463 ,147931 ,459107 
10-12.,462801 ,258112 ,253845 ,217431 ,30431 ,73525 ,1033 ,75789 ,49125 ,235 ,(16597),40158 ,56755 ,(8852),21317 ,484118 ,4939 ,19256 ,14317 ,489057 ,485051 ,362246 ,122953 ,150009 ,461168 
1996/ 1- 3.,466613 ,257404 ,253130 ,216537 ,31806 ,73285 ,1643 ,76459 ,51638 ,597 ,(17004),40801 ,57805 ,(9214),20784 ,487397 ,5616 ,11819 ,6203 ,493013 ,489103 ,363081 ,126279 ,153188 ,464139 
4- 6.,472558 ,260580 ,256302 ,219480 ,33279 ,75804 ,2979 ,76392 ,50911 ,191 ,(18808),40752 ,59559 ,(8769),19950 ,492507 ,6291 ,12020 ,5729 ,498799 ,496635 ,371549 ,125197 ,156552 ,469121 
7- 9.,473163 ,260810 ,256503 ,219468 ,34511 ,76855 ,1475 ,76725 ,48644 ,227 ,(17524),41972 ,59495 ,(8560),18951 ,492114 ,5998 ,11512 ,5514 ,498112 ,495918 ,372525 ,123426 ,156743 ,471108 
10-12.,478407 ,263344 ,259040 ,221774 ,35107 ,76901 ,2465 ,77854 ,47467 ,259 ,(16496),43759 ,60255 ,(8492),18453 ,496860 ,6178 ,11672 ,5494 ,503038 ,500064 ,376569 ,123485 ,156264 ,475396 
1997/ 1- 3.,479663 ,267244 ,262969 ,225485 ,34090 ,77661 ,(356),77863 ,46627 ,139 ,(15675),45099 ,60775 ,(7930),17905 ,497569 ,6687 ,12378 ,5692 ,504255 ,500286 ,377624 ,122618 ,155435 ,479366 
4- 6.,476078 ,260302 ,256108 ,218484 ,30912 ,77804 ,2477 ,78053 ,46666 ,79 ,(12735),47011 ,59746 ,(7480),18273 ,494350 ,6778 ,12349 ,5571 ,501128 ,493615 ,370851 ,122803 ,152820 ,473197 
7- 9.,477014 ,260627 ,256502 ,218712 ,29064 ,78230 ,4546 ,77975 ,47110 ,164 ,(13217),46383 ,59599 ,(7484),18322 ,495336 ,5913 ,11632 ,5719 ,501249 ,495170 ,371999 ,123213 ,152037 ,472145 
10-12.,477155 ,260065 ,255846 ,217897 ,27892 ,79912 ,3758 ,78392 ,44808 ,457 ,(10849),47396 ,58245 ,(7279),19005 ,496160 ,7030 ,13235 ,6204 ,503190 ,493160 ,371435 ,121724 ,150734 ,472800 
1998/ 1- 3.,471378 ,259760 ,255290 ,217175 ,27186 ,78679 ,3511 ,78280 ,42228 ,242 ,(11534),46178 ,57712 ,(6975),19766 ,491144 ,6624 ,12467 ,5843 ,497768 ,488018 ,368937 ,119016 ,146434 ,467425 
4- 6.,469303 ,259522 ,254768 ,216494 ,26659 ,77938 ,1600 ,78887 ,41855 ,173 ,(9906),45262 ,55168 ,(7424),19528 ,488831 ,5622 ,11722 ,6100 ,494453 ,484846 ,365601 ,119221 ,144820 ,467170 
7- 9.,470151 ,261374 ,256408 ,217950 ,26054 ,77403 ,(404),79314 ,43796 ,(82),(9827),45432 ,55259 ,(7477),19072 ,489223 ,6362 ,11838 ,5475 ,495585 ,485616 ,364411 ,121261 ,145452 ,470056 
10-12.,473905 ,260956 ,255845 ,217220 ,25483 ,75355 ,2429 ,79870 ,48298 ,(602),(9332),44608 ,53940 ,(8553),19523 ,493428 ,5793 ,10093 ,4300 ,499221 ,489442 ,364035 ,125612 ,146820 ,471584 
1999/ 1- 3.,467402 ,261983 ,256797 ,217945 ,25240 ,73233 ,(3513),80736 ,48482 ,(88),(10892),44708 ,55600 ,(7778),20445 ,487847 ,5155 ,9859 ,4704 ,493002 ,483792 ,357074 ,127059 ,144501 ,470053 
4- 6.,469175 ,262252 ,256905 ,217804 ,26878 ,73817 ,(3777),81532 ,47687 ,(8),(11524),45111 ,56634 ,(7682),19924 ,489099 ,6237 ,10158 ,3921 ,495336 ,486016 ,359150 ,127192 ,145867 ,472001 
7- 9.,471680 ,264074 ,258543 ,219191 ,27140 ,73392 ,(3443),82478 ,46225 ,(10),(11020),47049 ,58069 ,(7156),18980 ,490660 ,6343 ,9962 ,3619 ,497003 ,487572 ,361068 ,126794 ,144329 ,474204 
10-12.,471843 ,264797 ,259294 ,219701 ,26009 ,74184 ,(3570),82804 ,46010 ,(388),(11687),48123 ,59810 ,(6317),20093 ,491935 ,6657 ,10165 ,3507 ,498593 ,487872 ,361516 ,126634 ,143977 ,474748 
2000/ 1- 3.,479876 ,266306 ,261054 ,221215 ,26275 ,76970 ,(1610),83857 ,43484 ,180 ,(9120),50708 ,59828 ,(6465),18312 ,498187 ,6355 ,10531 ,4176 ,504542 ,493618 ,367948 ,125823 ,144916 ,480627 
4- 6.,482126 ,265902 ,260987 ,220905 ,26955 ,75879 ,1322 ,84867 ,43187 ,40 ,(9888),52332 ,62220 ,(6137),19087 ,501214 ,7696 ,11319 ,3623 ,508910 ,495994 ,369686 ,126461 ,144091 ,480394 
7- 9.,482249 ,266393 ,261719 ,221388 ,26428 ,78477 ,(1032),85491 ,42386 ,(48),(10674),53199 ,63873 ,(5174),18701 ,500949 ,7663 ,11412 ,3749 ,508612 ,496403 ,370262 ,126281 ,145671 ,482662 
10-12.,486946 ,269687 ,265047 ,224453 ,26973 ,80839 ,268 ,86040 ,41063 ,(74),(13228),52969 ,66197 ,(4624),19353 ,506299 ,7672 ,11819 ,4147 ,513971 ,503248 ,377676 ,125589 ,147484 ,486228 
2001/ 1- 3.,490543 ,271283 ,266471 ,225634 ,26980 ,81266 ,2149 ,86182 ,43062 ,18 ,(15263),51054 ,66317 ,(5133),19229 ,509772 ,7944 ,12164 ,4221 ,517716 ,509042 ,381434 ,127662 ,149746 ,488087 
4- 6.,486879 ,273509 ,268484 ,227414 ,25461 ,79099 ,2335 ,86935 ,40506 ,(214),(15719),49153 ,64872 ,(5034),17986 ,504865 ,7747 ,11766 ,4020 ,512611 ,506094 ,380249 ,125851 ,143755 ,484450 
7- 9.,481575 ,273349 ,268199 ,226896 ,25327 ,77644 ,(2165),87083 ,40510 ,(243),(14883),48073 ,62956 ,(5045),17671 ,499246 ,7672 ,11484 ,3813 ,506918 ,500256 ,374355 ,125981 ,142088 ,483154 
10-12.,479919 ,272903 ,267731 ,226203 ,25453 ,74595 ,(1116),88175 ,39545 ,(25),(13941),47153 ,61093 ,(5670),18825 ,498744 ,8156 ,11502 ,3345 ,506900 ,498099 ,371822 ,126396 ,138086 ,480392 
2002/ 1- 3.,480733 ,274483 ,269402 ,227638 ,25207 ,73957 ,(3496),88206 ,40031 ,(82),(12308),49304 ,61612 ,(5267),18741 ,499473 ,7957 ,11000 ,3042 ,507430 ,497085 ,370380 ,126834 ,137635 ,483336 
4- 6.,484624 ,276743 ,271814 ,229825 ,25279 ,72927 ,(2444),88525 ,38945 ,(24),(10537),52914 ,63451 ,(4791),18722 ,503346 ,7189 ,10397 ,3208 ,510535 ,498757 ,372620 ,126228 ,135625 ,486251 
7- 9.,486158 ,276969 ,272143 ,229942 ,25217 ,74124 ,(1523),89210 ,38796 ,(66),(12266),53286 ,65552 ,(4304),18815 ,504973 ,7363 ,10718 ,3355 ,512336 ,501548 ,374868 ,126764 ,136703 ,487008 
10-12.,487504 ,276307 ,271451 ,229036 ,24894 ,74180 ,490 ,89070 ,38216 ,(172),(11391),55129 ,66519 ,(4092),19156 ,506660 ,7020 ,10286 ,3266 ,513681 ,501755 ,375812 ,126005 ,135942 ,486672 
2003/ 1- 3.,487809 ,277461 ,272446 ,229804 ,24752 ,74469 ,(472),89547 ,36975 ,(72),(11134),55866 ,67000 ,(3719),17507 ,505315 ,7621 ,10720 ,3099 ,512936 ,501667 ,376261 ,125464 ,134982 ,487739 
4- 6.,491149 ,276959 ,271751 ,228886 ,24892 ,75612 ,(652),90342 ,37122 ,75 ,(8777),55990 ,64767 ,(4424),18139 ,509288 ,7824 ,10714 ,2891 ,517111 ,503347 ,376880 ,126542 ,136447 ,491116 
7- 9.,492610 ,276842 ,271496 ,228368 ,25390 ,74433 ,1816 ,90679 ,36093 ,(98),(8351),57996 ,66347 ,(4194),18256 ,510866 ,9339 ,12135 ,2796 ,520205 ,503983 ,378237 ,125806 ,134714 ,490564 
10-12.,497986 ,280610 ,275212 ,231972 ,25071 ,77427 ,(706),91066 ,35256 ,(394),(6895),60964 ,67858 ,(3452),18589 ,516574 ,8368 ,11040 ,2672 ,524942 ,507658 ,382502 ,125185 ,136811 ,498386 
2004/ 1- 3.,501646 ,280491 ,275128 ,231625 ,25345 ,77359 ,2903 ,91484 ,33608 ,(341),(5971),63967 ,69938 ,(3233),17884 ,519530 ,9359 ,12022 ,2663 ,528889 ,510012 ,385853 ,124153 ,135463 ,498818 
4- 6.,501690 ,280901 ,275588 ,231939 ,25842 ,77085 ,1227 ,91095 ,33435 ,63 ,(5066),66057 ,71123 ,(2892),16895 ,518585 ,10036 ,12895 ,2859 ,528620 ,508854 ,384895 ,123954 ,135467 ,500000 
7- 9.,504776 ,283006 ,277709 ,233908 ,25913 ,78066 ,2130 ,91479 ,32802 ,55 ,(6047),66640 ,72686 ,(2629),16855 ,521631 ,10339 ,13426 ,3088 ,531970 ,512682 ,388892 ,123761 ,135969 ,502294 
10-12.,503831 ,281517 ,276195 ,232247 ,25958 ,79785 ,1890 ,91492 ,32391 ,153 ,(7330),67521 ,74851 ,(2025),17339 ,521170 ,10791 ,14035 ,3244 ,531961 ,512469 ,388948 ,123487 ,137425 ,501478 
2005/ 1- 3.,506408 ,283193 ,277821 ,233765 ,25561 ,81795 ,1173 ,92380 ,31690 ,188 ,(7502),66841 ,74344 ,(2070),16159 ,522567 ,10325 ,14207 ,3883 ,532892 ,515448 ,391621 ,123785 ,138485 ,504670 
4- 6.,510317 ,285021 ,279582 ,235389 ,25349 ,84634 ,1304 ,91986 ,29700 ,(19),(5999),69696 ,75695 ,(1658),14157 ,524474 ,11534 ,15623 ,4089 ,536008 ,517700 ,396239 ,121366 ,139375 ,508636 
7- 9.,515517 ,287712 ,282214 ,237871 ,25862 ,86517 ,772 ,91823 ,30165 ,18 ,(5955),71909 ,77864 ,(1398),12650 ,528166 ,12251 ,16387 ,4136 ,540417 ,522569 ,400802 ,121659 ,142243 ,514283 
10-12.,516438 ,287796 ,282261 ,237766 ,26160 ,85113 ,461 ,92236 ,29550 ,(3),(3500),74404 ,77904 ,(1376),11479 ,527916 ,13164 ,17826 ,4662 ,541081 ,521049 ,399450 ,121496 ,140485 ,515510 
2006/ 1- 3.,517235 ,288789 ,283244 ,238637 ,25894 ,84757 ,(231),91970 ,30332 ,33 ,(3132),76124 ,79256 ,(1176),9288 ,526523 ,13871 ,18956 ,5085 ,540394 ,521257 ,399182 ,121981 ,140602 ,516926 
4- 6.,518000 ,288471 ,282896 ,238134 ,25828 ,86146 ,(84),92403 ,29169 ,(25),(3017),77358 ,80375 ,(891),9304 ,527304 ,13751 ,19205 ,5454 ,541055 ,521722 ,400339 ,121283 ,140880 ,517616 
7- 9.,517004 ,286240 ,280622 ,235692 ,25877 ,86302 ,759 ,92455 ,27581 ,44 ,(1522),78837 ,80359 ,(731),8004 ,525008 ,14352 ,19950 ,5597 ,539361 ,519148 ,399105 ,119937 ,139590 ,515767 
10-12.,524000 ,290591 ,284977 ,239909 ,25830 ,87879 ,649 ,92401 ,28008 ,(10),(476),79749 ,80225 ,(872),8602 ,532602 ,15194 ,21401 ,6207 ,547796 ,525262 ,404927 ,120216 ,141581 ,522911 
2007/ 1- 3.,527458 ,290783 ,285214 ,239977 ,25419 ,88204 ,2416 ,92931 ,27794 ,(109),748 ,81678 ,80929 ,(729),8281 ,535739 ,16278 ,22909 ,6631 ,552017 ,527371 ,406814 ,120432 ,141325 ,524765 
4- 6.,527592 ,292416 ,286901 ,241524 ,24983 ,87222 ,1001 ,93781 ,27144 ,140 ,1275 ,83599 ,82324 ,(368),7865 ,535457 ,16982 ,23159 ,6178 ,552438 ,526771 ,405675 ,120978 ,139279 ,525976 
7- 9.,524769 ,289547 ,284068 ,238563 ,22943 ,86152 ,1663 ,93633 ,26755 ,47 ,4131 ,85739 ,81608 ,(102),6023 ,530792 ,15244 ,23189 ,7945 ,546036 ,520940 ,400480 ,120350 ,135873 ,522621 
10-12.,527086 ,290014 ,284559 ,238942 ,20446 ,86066 ,2967 ,94379 ,27315 ,75 ,5652 ,88174 ,82523 ,173 ,1748 ,528834 ,16975 ,23956 ,6981 ,545809 ,521591 ,399828 ,121667 ,133949 ,523646 
2008/ 1- 3.,528994 ,291286 ,285840 ,240085 ,21057 ,86764 ,1668 ,94447 ,26632 ,89 ,6756 ,90400 ,83643 ,296 ,(428),528566 ,16439 ,22477 ,6039 ,545005 ,522257 ,401047 ,121106 ,134579 ,526835 
4- 6.,525793 ,288003 ,282596 ,236674 ,21917 ,85371 ,4361 ,93189 ,25694 ,(41),7117 ,88559 ,81442 ,182 ,(2677),523116 ,12952 ,18844 ,5892 ,536068 ,518769 ,399870 ,118778 ,133069 ,521096 
